Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'execut' | Inverse Document Frequency: 1.395102797112951
Term: 'sever' | Document Frequency: 169
Term: 'sever' | Inverse Document Frequency: 1.2778058027985264
Term: 'independ' | Document Frequency: 66
Term: 'independ' | Inverse Document Frequency: 1.6861485718703313
Term: 'met' | Document Frequency: 4
Term: 'met' | Inverse Document Frequency: 2.9036325160842376
Term: 'carefulli' | Document Frequency: 7
Term: 'carefulli' | Inverse Document Frequency: 2.660594467397943
Term: 'balanc' | Document Frequency: 22
Term: 'balanc' | Inverse Document Frequency: 2.163269826589994
Term: 'combin' | Document Frequency: 96
Term: 'combin' | Inverse Document Frequency: 1.5234212743726316
Term: 'builtin' | Document Frequency: 3
Term: 'builtin' | Inverse Document Frequency: 3.0285712526925375
Term: 'describ' | Document Frequency: 505
Term: 'describ' | Inverse Document Frequency: 0.8024011292935387
Term: 'place' | Document Frequency: 38
Term: 'place' | Inverse Document Frequency: 1.92590891079539
Term: 'burden' | Document Frequency: 2
Term: 'burden' | Inverse Document Frequency: 3.204662511748219
Term: 'supervisori' | Document Frequency: 7
Term: 'supervisori' | Inverse Document Frequency: 2.660594467397943
Term: 'compil' | Document Frequency: 179
Term: 'compil' | Inverse Document Frequency: 1.2528394764323068
Term: 'russian' | Document Frequency: 1
Term: 'russian' | Inverse Document Frequency: 3.5056925074122
Term: 'visit' | Document Frequency: 6
Term: 'visit' | Inverse Document Frequency: 2.727541257028556
Term: 'zaitzeff' | Document Frequency: 1
Term: 'zaitzeff' | Inverse Document Frequency: 3.5056925074122
Term: 'astrahan' | Document Frequency: 2
Term: 'astrahan' | Inverse Document Frequency: 3.204662511748219
Term: 'shiftregist' | Document Frequency: 3
Term: 'shiftregist' | Inverse Document Frequency: 3.0285712526925375
Term: 'index' | Document Frequency: 51
Term: 'index' | Inverse Document Frequency: 1.7981223313142636
Term: 'sengupta' | Document Frequency: 1
Term: 'sengupta' | Inverse Document Frequency: 3.5056925074122
Term: 'n' | Document Frequency: 204
Term: 'n' | Inverse Document Frequency: 1.1960623399863013
Term: '10' | Document Frequency: 20
Term: '10' | Inverse Document Frequency: 2.204662511748219
Term: '64' | Document Frequency: 6
Term: '64' | Inverse Document Frequency: 2.727541257028556
Term: 'wireless' | Document Frequency: 1
Term: 'wireless' | Inverse Document Frequency: 3.5056925074122
Term: 'telemet' | Document Frequency: 1
Term: 'telemet' | Inverse Document Frequency: 3.5056925074122
Term: 'station' | Document Frequency: 5
Term: 'station' | Inverse Document Frequency: 2.8067225030761813
Term: 'fix' | Document Frequency: 46
Term: 'fix' | Inverse Document Frequency: 1.842934675730626
Term: 'cyclic' | Document Frequency: 8
Term: 'cyclic' | Inverse Document Frequency: 2.6026025204202563
Term: 'order' | Document Frequency: 164
Term: 'order' | Inverse Document Frequency: 1.290848659364502
Term: 'high' | Document Frequency: 62
Term: 'high' | Inverse Document Frequency: 1.7133008179139462
Term: 'degre' | Document Frequency: 47
Term: 'degre' | Inverse Document Frequency: 1.8335946494764825
Term: 'permit' | Document Frequency: 90
Term: 'permit' | Inverse Document Frequency: 1.551449997972875
Term: 'singleerror' | Document Frequency: 1
Term: 'singleerror' | Inverse Document Frequency: 3.5056925074122
Term: 'correct' | Document Frequency: 99
Term: 'correct' | Inverse Document Frequency: 1.5100573128146502
Term: 'minimumdistancethre' | Document Frequency: 1
Term: 'minimumdistancethre' | Inverse Document Frequency: 3.5056925074122
Term: '10bit' | Document Frequency: 1
Term: '10bit' | Inverse Document Frequency: 3.5056925074122
Term: 'word' | Document Frequency: 64
Term: 'word' | Inverse Document Frequency: 1.699512533428313
Term: 'emploi' | Document Frequency: 55
Term: 'emploi' | Inverse Document Frequency: 1.7653298179179562
Term: 'identif' | Document Frequency: 20
Term: 'identif' | Inverse Document Frequency: 2.204662511748219
Term: 'embed' | Document Frequency: 16
Term: 'embed' | Inverse Document Frequency: 2.301572524756275
Term: 'period' | Document Frequency: 30
Term: 'period' | Inverse Document Frequency: 2.0285712526925375
Term: '1023' | Document Frequency: 1
Term: '1023' | Inverse Document Frequency: 3.5056925074122
Term: 'punctuat' | Document Frequency: 1
Term: 'punctuat' | Inverse Document Frequency: 3.5056925074122
Term: 'each' | Document Frequency: 202
Term: 'each' | Inverse Document Frequency: 1.2003411379655762
Term: 'receiv' | Document Frequency: 17
Term: 'receiv' | Inverse Document Frequency: 2.275243586033926
Term: 'simpli' | Document Frequency: 15
Term: 'simpli' | Inverse Document Frequency: 2.3296012483565187
Term: 'put' | Document Frequency: 11
Term: 'put' | Inverse Document Frequency: 2.464299822253975
Term: 'zero' | Document Frequency: 28
Term: 'zero' | Inverse Document Frequency: 2.0585344760699806
Term: 'into' | Document Frequency: 199
Term: 'into' | Inverse Document Frequency: 1.2068394310024935
Term: 'shift' | Document Frequency: 14
Term: 'shift' | Inverse Document Frequency: 2.359564471733962
Term: 'regist' | Document Frequency: 25
Term: 'regist' | Inverse Document Frequency: 2.1077524987401626
Term: 'aris' | Document Frequency: 29
Term: 'aris' | Inverse Document Frequency: 2.043294509513244
Term: 'identifi' | Document Frequency: 53
Term: 'identifi' | Inverse Document Frequency: 1.781416637811411
Term: 'particular' | Document Frequency: 111
Term: 'particular' | Inverse Document Frequency: 1.4603695286255425
Term: 'bar' | Document Frequency: 1
Term: 'bar' | Inverse Document Frequency: 3.5056925074122
Term: 'tuitou' | Document Frequency: 1
Term: 'tuitou' | Inverse Document Frequency: 3.5056925074122
Term: 'veri' | Document Frequency: 94
Term: 'veri' | Inverse Document Frequency: 1.5325646538125013
Term: 'low' | Document Frequency: 28
Term: 'low' | Inverse Document Frequency: 2.0585344760699806
Term: 'probabl' | Document Frequency: 64
Term: 'probabl' | Inverse Document Frequency: 1.699512533428313
Term: 'ha' | Document Frequency: 307
Term: 'ha' | Inverse Document Frequency: 1.0185541319350135
Term: 'been' | Document Frequency: 284
Term: 'been' | Inverse Document Frequency: 1.0523741673651623
Term: 'properti' | Document Frequency: 94
Term: 'properti' | Inverse Document Frequency: 1.5325646538125013
Term: 'detail' | Document Frequency: 101
Term: 'detail' | Inverse Document Frequency: 1.5013711336295574
Term: 'find' | Document Frequency: 60
Term: 'find' | Inverse Document Frequency: 1.7275412570285564
Term: 'ural' | Document Frequency: 1
Term: 'ural' | Inverse Document Frequency: 3.5056925074122
Term: 'sovietbuilt' | Document Frequency: 1
Term: 'sovietbuilt' | Inverse Document Frequency: 3.5056925074122
Term: 'drum' | Document Frequency: 19
Term: 'drum' | Inverse Document Frequency: 2.226938906459371
Term: 'donat' | Document Frequency: 1
Term: 'donat' | Inverse Document Frequency: 3.5056925074122
Term: 'indian' | Document Frequency: 1
Term: 'indian' | Inverse Document Frequency: 3.5056925074122
Term: 'statist' | Document Frequency: 76
Term: 'statist' | Inverse Document Frequency: 1.6248789151314087
Term: 'institut' | Document Frequency: 16
Term: 'institut' | Inverse Document Frequency: 2.301572524756275
Term: 'nation' | Document Frequency: 24
Term: 'nation' | Inverse Document Frequency: 2.125481265700594
Term: 'technic' | Document Frequency: 19
Term: 'technic' | Inverse Document Frequency: 2.226938906459371
Term: 'aid' | Document Frequency: 57
Term: 'aid' | Inverse Document Frequency: 1.7498176517397086
Term: 'administr' | Document Frequency: 16
Term: 'administr' | Inverse Document Frequency: 2.301572524756275
Term: 'untaa' | Document Frequency: 1
Term: 'untaa' | Inverse Document Frequency: 3.5056925074122
Term: 'scientif' | Document Frequency: 23
Term: 'scientif' | Inverse Document Frequency: 2.143964671394607
Term: 'busi' | Document Frequency: 29
Term: 'busi' | Inverse Document Frequency: 2.043294509513244
Term: 'oracl' | Document Frequency: 1
Term: 'oracl' | Inverse Document Frequency: 3.5056925074122
Term: 'plotter' | Document Frequency: 10
Term: 'plotter' | Inverse Document Frequency: 2.5056925074122
Term: 'fike' | Document Frequency: 2
Term: 'fike' | Inverse Document Frequency: 3.204662511748219
Term: '650part' | Document Frequency: 2
Term: '650part' | Inverse Document Frequency: 3.204662511748219
Term: 'ii' | Document Frequency: 49
Term: 'ii' | Inverse Document Frequency: 1.8154964273836864
Term: 'hamblen' | Document Frequency: 6
Term: 'hamblen' | Inverse Document Frequency: 2.727541257028556
Term: 'construct' | Document Frequency: 136
Term: 'construct' | Inverse Document Frequency: 1.3721535990419826
Term: 'microflowchart' | Document Frequency: 1
Term: 'microflowchart' | Inverse Document Frequency: 3.5056925074122
Term: 'gorn' | Document Frequency: 9
Term: 'gorn' | Inverse Document Frequency: 2.5514499979728753
Term: 'ingerman' | Document Frequency: 8
Term: 'ingerman' | Inverse Document Frequency: 2.6026025204202563
Term: 'z' | Document Frequency: 45
Term: 'z' | Inverse Document Frequency: 1.8524799936368563
Term: 'crozier' | Document Frequency: 1
Term: 'crozier' | Inverse Document Frequency: 3.5056925074122
Term: 'uniformli' | Document Frequency: 8
Term: 'uniformli' | Inverse Document Frequency: 2.6026025204202563
Term: 'distribut' | Document Frequency: 113
Term: 'distribut' | Inverse Document Frequency: 1.4526140639287803
Term: 'point' | Document Frequency: 129
Term: 'point' | Inverse Document Frequency: 1.395102797112951
Term: 'surfac' | Document Frequency: 29
Term: 'surfac' | Inverse Document Frequency: 2.043294509513244
Term: 'ndimension' | Document Frequency: 9
Term: 'ndimension' | Inverse Document Frequency: 2.5514499979728753
Term: 'sphere' | Document Frequency: 7
Term: 'sphere' | Inverse Document Frequency: 2.660594467397943
Term: 'corrigendum' | Document Frequency: 34
Term: 'corrigendum' | Inverse Document Frequency: 1.974213590369945
Term: 'cook' | Document Frequency: 3
Term: 'cook' | Inverse Document Frequency: 3.0285712526925375
Term: 'recommend' | Document Frequency: 25
Term: 'recommend' | Inverse Document Frequency: 2.1077524987401626
Term: 'share' | Document Frequency: 70
Term: 'share' | Inverse Document Frequency: 1.6605944673979431
Term: 'committe' | Document Frequency: 25
Term: 'committe' | Inverse Document Frequency: 2.1077524987401626
Term: 'sale' | Document Frequency: 6
Term: 'sale' | Inverse Document Frequency: 2.727541257028556
Term: 'brittenham' | Document Frequency: 1
Term: 'brittenham' | Inverse Document Frequency: 3.5056925074122
Term: 'clark' | Document Frequency: 13
Term: 'clark' | Inverse Document Frequency: 2.391749155105363
Term: 'kuss' | Document Frequency: 1
Term: 'kuss' | Inverse Document Frequency: 3.5056925074122
Term: 'thompson' | Document Frequency: 9
Term: 'thompson' | Inverse Document Frequency: 2.5514499979728753
Term: 'smith' | Document Frequency: 39
Term: 'smith' | Inverse Document Frequency: 1.914627900385701
Term: 'kaner' | Document Frequency: 1
Term: 'kaner' | Inverse Document Frequency: 3.5056925074122
Term: 'standard' | Document Frequency: 153
Term: 'standard' | Inverse Document Frequency: 1.3210010765946012
Term: 'symbol' | Document Frequency: 103
Term: 'symbol' | Inverse Document Frequency: 1.4928552827070278
Term: 'jeida' | Document Frequency: 1
Term: 'jeida' | Inverse Document Frequency: 3.5056925074122
Term: 'it' | Document Frequency: 240
Term: 'it' | Inverse Document Frequency: 1.125481265700594
Term: 'center' | Document Frequency: 33
Term: 'center' | Inverse Document Frequency: 1.9871785675343125
Term: 'lem1' | Document Frequency: 1
Term: 'lem1' | Inverse Document Frequency: 3.5056925074122
Term: 'small' | Document Frequency: 87
Term: 'small' | Inverse Document Frequency: 1.5661732547935816
Term: 'size' | Document Frequency: 105
Term: 'size' | Inverse Document Frequency: 1.484503208342262
Term: 'magnet' | Document Frequency: 21
Term: 'magnet' | Inverse Document Frequency: 2.183473212678281
Term: 'ferrit' | Document Frequency: 2
Term: 'ferrit' | Inverse Document Frequency: 3.204662511748219
Term: 'element' | Document Frequency: 68
Term: 'element' | Inverse Document Frequency: 1.6731835947059637
Term: 'machmudov' | Document Frequency: 1
Term: 'machmudov' | Inverse Document Frequency: 3.5056925074122
Term: 'u' | Document Frequency: 15
Term: 'u' | Inverse Document Frequency: 2.3296012483565187
Term: 'examin' | Document Frequency: 82
Term: 'examin' | Inverse Document Frequency: 1.5918786550284834
Term: 'contactless' | Document Frequency: 1
Term: 'contactless' | Inverse Document Frequency: 3.5056925074122
Term: 'capacit' | Document Frequency: 5
Term: 'capacit' | Inverse Document Frequency: 2.8067225030761813
Term: 'dezu' | Document Frequency: 1
Term: 'dezu' | Inverse Document Frequency: 3.5056925074122
Term: 'long' | Document Frequency: 29
Term: 'long' | Inverse Document Frequency: 2.043294509513244
Term: 'durat' | Document Frequency: 3
Term: 'durat' | Inverse Document Frequency: 3.0285712526925375
Term: 'memori' | Document Frequency: 167
Term: 'memori' | Inverse Document Frequency: 1.2829760362646168
Term: 'laboratori' | Document Frequency: 22
Term: 'laboratori' | Inverse Document Frequency: 2.163269826589994
Term: 'electr' | Document Frequency: 4
Term: 'electr' | Inverse Document Frequency: 2.9036325160842376
Term: 'model' | Document Frequency: 181
Term: 'model' | Inverse Document Frequency: 1.2480139325430155
Term: 'vinityi' | Document Frequency: 1
Term: 'vinityi' | Inverse Document Frequency: 3.5056925074122
Term: 'sssr' | Document Frequency: 1
Term: 'sssr' | Inverse Document Frequency: 3.5056925074122
Term: 'under' | Document Frequency: 95
Term: 'under' | Inverse Document Frequency: 1.5279689021233522
Term: 'supervis' | Document Frequency: 3
Term: 'supervis' | Inverse Document Frequency: 3.0285712526925375
Term: 'professor' | Document Frequency: 2
Term: 'professor' | Inverse Document Frequency: 3.204662511748219
Term: 'li' | Document Frequency: 7
Term: 'li' | Inverse Document Frequency: 2.660594467397943
Term: 'gutenmach' | Document Frequency: 1
Term: 'gutenmach' | Inverse Document Frequency: 3.5056925074122
Term: 'survei' | Document Frequency: 39
Term: 'survei' | Inverse Document Frequency: 1.914627900385701
Term: 'progress' | Document Frequency: 18
Term: 'progress' | Inverse Document Frequency: 2.250420002308894
Term: 'trend' | Document Frequency: 10
Term: 'trend' | Inverse Document Frequency: 2.5056925074122
Term: 'manag' | Document Frequency: 101
Term: 'manag' | Inverse Document Frequency: 1.5013711336295574
Term: 'control' | Document Frequency: 185
Term: 'control' | Inverse Document Frequency: 1.2385207790091861
Term: 'feder' | Document Frequency: 4
Term: 'feder' | Inverse Document Frequency: 2.9036325160842376
Term: 'govern' | Document Frequency: 18
Term: 'govern' | Inverse Document Frequency: 2.250420002308894
Term: 'decemb' | Document Frequency: 5
Term: 'decemb' | Inverse Document Frequency: 2.8067225030761813
Term: '1957iii' | Document Frequency: 1
Term: '1957iii' | Inverse Document Frequency: 3.5056925074122
